Season,No. in series,No. in season,Title_Text,Title_Link,Original air date,U.S. viewers (millions)
Season 3,56,20,"""Time After Time""",https://greysanatomy.fandom.com/wiki/Time_After_Time,"April 19, 2007",21.12
Season 3,57,21,"""Desire""",https://greysanatomy.fandom.com/wiki/Desire,"April 26, 2007",20.08
Season 3,58,22,"""The Other Side of This Life, Part 1""","https://greysanatomy.fandom.com/wiki/The_Other_Side_of_This_Life,_Part_1","May 3, 2007",21.23
Season 3,59,23,"""The Other Side of This Life, Part 2""","https://greysanatomy.fandom.com/wiki/The_Other_Side_of_This_Life,_Part_2","May 3, 2007",21.23
Season 3,60,24,"""Testing 1-2-3""",https://greysanatomy.fandom.com/wiki/Testing_1-2-3,"May 10, 2007",19.58
Season 3,61,25,"""Didn't We Almost Have It All?""",https://greysanatomy.fandom.com/wiki/Didn%27t_We_Almost_Have_It_All%3F,"May 17, 2007",25.57
Season 4,62,1,"""A Change is Gonna Come""",https://greysanatomy.fandom.com/wiki/A_Change_is_Gonna_Come,"September 27, 2007",20.93
Season 4,63,2,"""Love/Addiction""",https://greysanatomy.fandom.com/wiki/Love/Addiction,"October 4, 2007",18.51
Season 4,64,3,"""Let the Truth Sting""",https://greysanatomy.fandom.com/wiki/Let_the_Truth_Sting,"October 11, 2007",19.04
Season 4,65,4,"""The Heart of the Matter""",https://greysanatomy.fandom.com/wiki/The_Heart_of_the_Matter,"October 18, 2007",18.04
Season 4,66,5,"""Haunt You Every Day""",https://greysanatomy.fandom.com/wiki/Haunt_You_Every_Day,"October 25, 2007",18.17
Season 4,67,6,"""Kung Fu Fighting""",https://greysanatomy.fandom.com/wiki/Kung_Fu_Fighting,"November 1, 2007",19.31
Season 4,68,7,"""Physical Attraction... Chemical Reaction""",https://greysanatomy.fandom.com/wiki/Physical_Attraction..._Chemical_Reaction,"November 8, 2007",19.5
Season 4,69,8,"""Forever Young""",https://greysanatomy.fandom.com/wiki/Forever_Young,"November 15, 2007",19.61
Season 4,70,9,"""Crash Into Me, Part 1""","https://greysanatomy.fandom.com/wiki/Crash_Into_Me,_Part_1","November 22, 2007",14.11
Season 4,71,10,"""Crash Into Me, Part 2""","https://greysanatomy.fandom.com/wiki/Crash_Into_Me,_Part_2","December 6, 2007",17.78
Season 4,72,11,"""Lay Your Hands on Me""",https://greysanatomy.fandom.com/wiki/Lay_Your_Hands_on_Me,"January 10, 2008",17.68
Season 4,73,12,"""Where the Wild Things Are""",https://greysanatomy.fandom.com/wiki/Where_the_Wild_Things_Are,"April 24, 2008",16.37
Season 4,74,13,"""Piece of My Heart""",https://greysanatomy.fandom.com/wiki/Piece_of_My_Heart,"May 1, 2008",15.31
Season 4,75,14,"""The Becoming""",https://greysanatomy.fandom.com/wiki/The_Becoming,"May 8, 2008",16.03
Season 4,76,15,"""Losing My Mind""",https://greysanatomy.fandom.com/wiki/Losing_My_Mind,"May 15, 2008",15.55
Season 4,77,16,"""Freedom, Part 1""","https://greysanatomy.fandom.com/wiki/Freedom,_Part_1","May 22, 2008",18.09
Season 4,78,17,"""Freedom, Part 2""","https://greysanatomy.fandom.com/wiki/Freedom,_Part_2","May 22, 2008",18.09
Season 5,79,1,"""Dream a Little Dream of Me, Part 1""","https://greysanatomy.fandom.com/wiki/Dream_a_Little_Dream_of_Me,_Part_1","September 25, 2008",18.29
Season 5,80,2,"""Dream a Little Dream of Me, Part 2""","https://greysanatomy.fandom.com/wiki/Dream_a_Little_Dream_of_Me,_Part_2","September 25, 2008",18.31
Season 5,81,3,"""Here Comes the Flood""",https://greysanatomy.fandom.com/wiki/Here_Comes_the_Flood,"October 9, 2008",14.54
Season 5,82,4,"""Brave New World""",https://greysanatomy.fandom.com/wiki/Brave_New_World,"October 16, 2008",14.57
Season 5,83,5,"""There's No 'I' in Team""",https://greysanatomy.fandom.com/wiki/There%27s_No_%27I%27_in_Team,"October 23, 2008",14.21
Season 5,84,6,"""Life During Wartime""",https://greysanatomy.fandom.com/wiki/Life_During_Wartime,"October 30, 2008",15.05
Season 5,85,7,"""Rise Up""",https://greysanatomy.fandom.com/wiki/Rise_Up,"November 6, 2008",15.63
Season 5,86,8,"""These Ties That Bind""",https://greysanatomy.fandom.com/wiki/These_Ties_That_Bind,"November 13, 2008",15.59
Season 5,87,9,"""In the Midnight Hour""",https://greysanatomy.fandom.com/wiki/In_the_Midnight_Hour,"November 20, 2008",15.74
Season 5,88,10,"""All By Myself""",https://greysanatomy.fandom.com/wiki/All_By_Myself,"December 4, 2008",15.15
Season 5,89,11,"""Wish You Were Here""",https://greysanatomy.fandom.com/wiki/Wish_You_Were_Here,"January 8, 2009",13.71
Season 5,90,12,"""Sympathy for the Devil""",https://greysanatomy.fandom.com/wiki/Sympathy_for_the_Devil,"January 15, 2009",12.95
Season 5,91,13,"""Stairway to Heaven""",https://greysanatomy.fandom.com/wiki/Stairway_to_Heaven,"January 22, 2009",14.25
Season 5,92,14,"""Beat Your Heart Out""",https://greysanatomy.fandom.com/wiki/Beat_Your_Heart_Out,"February 5, 2009",15.2
Season 5,93,15,"""Before and After""",https://greysanatomy.fandom.com/wiki/Before_and_After,"February 12, 2009",15.7
Season 5,94,16,"""An Honest Mistake""",https://greysanatomy.fandom.com/wiki/An_Honest_Mistake,"February 19, 2009",15.39
Season 5,95,17,"""I Will Follow You Into the Dark""",https://greysanatomy.fandom.com/wiki/I_Will_Follow_You_Into_the_Dark,"March 12, 2009",13.54
Season 5,96,18,"""Stand By Me""",https://greysanatomy.fandom.com/wiki/Stand_By_Me,"March 19, 2009",14.67
Season 5,97,19,"""Elevator Love Letter""",https://greysanatomy.fandom.com/wiki/Elevator_Love_Letter,"March 26, 2009",16.1
Season 5,98,20,"""Sweet Surrender""",https://greysanatomy.fandom.com/wiki/Sweet_Surrender,"April 23, 2009",13.55
Season 5,99,21,"""No Good at Saying Sorry (One More Chance)""",https://greysanatomy.fandom.com/wiki/No_Good_at_Saying_Sorry_(One_More_Chance),"April 30, 2009",14.12
Season 5,100,22,"""What a Difference a Day Makes""",https://greysanatomy.fandom.com/wiki/What_a_Difference_a_Day_Makes,"May 7, 2009",15.33
Season 5,101,23,"""Here's to Future Days""",https://greysanatomy.fandom.com/wiki/Here%27s_to_Future_Days,"May 14, 2009",15.58
Season 5,102,24,"""Now or Never""",https://greysanatomy.fandom.com/wiki/Now_or_Never,"May 14, 2009",17.12
Season 6,103,1,"""Good Mourning""",https://greysanatomy.fandom.com/wiki/Good_Mourning,"September 24, 2009",17.03
Season 6,104,2,"""Goodbye""",https://greysanatomy.fandom.com/wiki/Goodbye,"September 24, 2009",17.03
Season 6,105,3,"""I Always Feel Like Somebody's Watchin' Me""",https://greysanatomy.fandom.com/wiki/I_Always_Feel_Like_Somebody%27s_Watchin%27_Me,"October 1, 2009",15.69
Season 6,106,4,"""Tainted Obligation""",https://greysanatomy.fandom.com/wiki/Tainted_Obligation,"October 8, 2009",14.13
Season 6,107,5,"""Invasion""",https://greysanatomy.fandom.com/wiki/Invasion,"October 15, 2009",13.79
Season 6,108,6,"""I Saw What I Saw""",https://greysanatomy.fandom.com/wiki/I_Saw_What_I_Saw,"October 22, 2009",15.4
Season 6,109,7,"""Give Peace a Chance""",https://greysanatomy.fandom.com/wiki/Give_Peace_a_Chance,"October 29, 2009",13.74
Season 6,110,8,"""Invest in Love""",https://greysanatomy.fandom.com/wiki/Invest_in_Love,"November 5, 2009",13.95
Season 6,111,9,"""New History""",https://greysanatomy.fandom.com/wiki/New_History,"November 12, 2009",14.87
Season 6,112,10,"""Holidaze""",https://greysanatomy.fandom.com/wiki/Holidaze,"November 19, 2009",14.07
Season 6,113,11,"""Blink""",https://greysanatomy.fandom.com/wiki/Blink,"January 14, 2010",12.78
Season 6,114,12,"""I Like You So Much Better When You're Naked""",https://greysanatomy.fandom.com/wiki/I_Like_You_So_Much_Better_When_You%27re_Naked,"January 21, 2010",12.7
Season 6,115,13,"""State of Love and Trust""",https://greysanatomy.fandom.com/wiki/State_of_Love_and_Trust,"February 4, 2010",12.55
Season 6,116,14,"""Valentine's Day Massacre""",https://greysanatomy.fandom.com/wiki/Valentine%27s_Day_Massacre,"February 11, 2010",12.74
Season 6,117,15,"""The Time Warp""",https://greysanatomy.fandom.com/wiki/The_Time_Warp,"February 18, 2010",10.27
Season 6,118,16,"""Perfect Little Accident""",https://greysanatomy.fandom.com/wiki/Perfect_Little_Accident,"March 4, 2010",11.83
Season 6,119,17,"""Push""",https://greysanatomy.fandom.com/wiki/Push,"March 11, 2010",10.94
Season 6,120,18,"""Suicide is Painless""",https://greysanatomy.fandom.com/wiki/Suicide_is_Painless,"March 25, 2010",11.57
Season 6,121,19,"""Sympathy for the Parents""",https://greysanatomy.fandom.com/wiki/Sympathy_for_the_Parents,"April 1, 2010",9.87
Season 6,122,20,"""Hook, Line and Sinner""","https://greysanatomy.fandom.com/wiki/Hook,_Line_and_Sinner","April 29, 2010",10.47
Season 6,123,21,"""How Insensitive""",https://greysanatomy.fandom.com/wiki/How_Insensitive,"May 6, 2010",11.03
Season 6,124,22,"""Shiny Happy People""",https://greysanatomy.fandom.com/wiki/Shiny_Happy_People,"May 13, 2010",11.05
Season 6,125,23,"""Sanctuary""",https://greysanatomy.fandom.com/wiki/Sanctuary,"May 20, 2010",13.93
Season 6,126,24,"""Death and All His Friends""",https://greysanatomy.fandom.com/wiki/Death_and_All_His_Friends,"May 20, 2010",16.13
Season 7,127,1,"""With You I'm Born Again""",https://greysanatomy.fandom.com/wiki/With_You_I%27m_Born_Again,"September 23, 2010",14.32
Season 7,128,2,"""Shock to the System""",https://greysanatomy.fandom.com/wiki/Shock_to_the_System,"September 30, 2010",12.53
Season 7,129,3,"""Superfreak""",https://greysanatomy.fandom.com/wiki/Superfreak,"October 7, 2010",12.75
Season 7,130,4,"""Can't Fight Biology""",https://greysanatomy.fandom.com/wiki/Can%27t_Fight_Biology,"October 14, 2010",12.11
Season 7,131,5,"""Almost Grown""",https://greysanatomy.fandom.com/wiki/Almost_Grown,"October 21, 2010",10.97
Season 7,132,6,"""These Arms of Mine""",https://greysanatomy.fandom.com/wiki/These_Arms_of_Mine,"October 28, 2010",10.79
Season 7,133,7,"""That's Me Trying""",https://greysanatomy.fandom.com/wiki/That%27s_Me_Trying,"November 4, 2010",11.92
Season 7,134,8,"""Something's Gotta Give""",https://greysanatomy.fandom.com/wiki/Something%27s_Gotta_Give,"November 11, 2010",11.13
Season 7,135,9,"""Slow Night, So Long""","https://greysanatomy.fandom.com/wiki/Slow_Night,_So_Long","November 18, 2010",11.46
Season 7,136,10,"""Adrift and at Peace""",https://greysanatomy.fandom.com/wiki/Adrift_and_at_Peace,"December 2, 2010",11.02
Season 7,137,11,"""Disarm""",https://greysanatomy.fandom.com/wiki/Disarm,"January 6, 2011",11.64
Season 7,138,12,"""Start Me Up""",https://greysanatomy.fandom.com/wiki/Start_Me_Up,"January 13, 2011",12.15
Season 7,139,13,"""Don't Deceive Me (Please Don't Go)""",https://greysanatomy.fandom.com/wiki/Don%27t_Deceive_Me_(Please_Don%27t_Go),"February 3, 2011",11.18
Season 7,140,14,"""P.Y.T. (Pretty Young Thing)""",https://greysanatomy.fandom.com/wiki/P.Y.T._(Pretty_Young_Thing),"February 10, 2011",10.47
Season 7,141,15,"""Golden Hour""",https://greysanatomy.fandom.com/wiki/Golden_Hour,"February 17, 2011",10.24
Season 7,142,16,"""Not Responsible""",https://greysanatomy.fandom.com/wiki/Not_Responsible,"February 24, 2011",9.13
Season 7,143,17,"""This is How We Do It""",https://greysanatomy.fandom.com/wiki/This_is_How_We_Do_It,"March 24, 2011",10.28
Season 7,144,18,"""Song Beneath the Song""",https://greysanatomy.fandom.com/wiki/Song_Beneath_the_Song,"March 31, 2011",13.09
Season 7,145,19,"""It's a Long Way Back""",https://greysanatomy.fandom.com/wiki/It%27s_a_Long_Way_Back,"April 28, 2011",10.67
Season 7,146,20,"""White Wedding""",https://greysanatomy.fandom.com/wiki/White_Wedding,"May 5, 2011",10.11
Season 7,147,21,"""I Will Survive""",https://greysanatomy.fandom.com/wiki/I_Will_Survive,"May 12, 2011",9.63
Season 7,148,22,"""Unaccompanied Minor""",https://greysanatomy.fandom.com/wiki/Unaccompanied_Minor,"May 19, 2011",9.89
Season 8,149,1,"""Free Falling""",https://greysanatomy.fandom.com/wiki/Free_Falling,"September 22, 2011",10.38
Season 8,150,2,"""She's Gone""",https://greysanatomy.fandom.com/wiki/She%27s_Gone,"September 22, 2011",10.38
Season 8,151,3,"""Take the Lead""",https://greysanatomy.fandom.com/wiki/Take_the_Lead,"September 29, 2011",10.2
Season 8,152,4,"""What is It About Men""",https://greysanatomy.fandom.com/wiki/What_is_It_About_Men,"October 6, 2011",8.7
Season 8,153,5,"""Love, Loss and Legacy""","https://greysanatomy.fandom.com/wiki/Love,_Loss_and_Legacy","October 13, 2011",9.97
Season 8,154,6,"""Poker Face""",https://greysanatomy.fandom.com/wiki/Poker_Face,"October 20, 2011",9.54
Season 8,155,7,"""Put Me In, Coach""","https://greysanatomy.fandom.com/wiki/Put_Me_In,_Coach","October 27, 2011",9.93
Season 8,156,8,"""Heart-Shaped Box""",https://greysanatomy.fandom.com/wiki/Heart-Shaped_Box,"November 3, 2011",9.52
Season 8,157,9,"""Dark Was the Night""",https://greysanatomy.fandom.com/wiki/Dark_Was_the_Night,"November 10, 2011",11.29
Season 8,158,10,"""Suddenly""",https://greysanatomy.fandom.com/wiki/Suddenly,"January 5, 2012",12.12
Season 8,159,11,"""This Magic Moment""",https://greysanatomy.fandom.com/wiki/This_Magic_Moment,"January 12, 2012",10.71
Season 8,160,12,"""Hope for the Hopeless""",https://greysanatomy.fandom.com/wiki/Hope_for_the_Hopeless,"January 19, 2012",9.42
Season 8,161,13,"""If/Then""",https://greysanatomy.fandom.com/wiki/If/Then,"February 2, 2012",9.71
Season 8,162,14,"""All You Need is Love""",https://greysanatomy.fandom.com/wiki/All_You_Need_is_Love,"February 9, 2012",10.27
Season 8,163,15,"""Have You Seen Me Lately?""",https://greysanatomy.fandom.com/wiki/Have_You_Seen_Me_Lately%3F,"February 16, 2012",8.31
Season 8,164,16,"""If Only You Were Lonely""",https://greysanatomy.fandom.com/wiki/If_Only_You_Were_Lonely,"February 23, 2012",9.06
Season 8,165,17,"""One Step Too Far""",https://greysanatomy.fandom.com/wiki/One_Step_Too_Far,"March 15, 2012",9.62
Season 8,166,18,"""The Lion Sleeps Tonight""",https://greysanatomy.fandom.com/wiki/The_Lion_Sleeps_Tonight,"April 5, 2012",8.19
Season 8,167,19,"""Support System""",https://greysanatomy.fandom.com/wiki/Support_System,"April 12, 2012",8.85
Season 8,168,20,"""The Girl with No Name""",https://greysanatomy.fandom.com/wiki/The_Girl_with_No_Name,"April 19, 2012",9.82
Season 8,169,21,"""Moment of Truth""",https://greysanatomy.fandom.com/wiki/Moment_of_Truth,"April 26, 2012",9.45
Season 8,170,22,"""Let the Bad Times Roll""",https://greysanatomy.fandom.com/wiki/Let_the_Bad_Times_Roll,"May 3, 2012",9.24
Season 8,171,23,"""Migration""",https://greysanatomy.fandom.com/wiki/Migration,"May 10, 2012",9.82
Season 8,172,24,"""Flight""",https://greysanatomy.fandom.com/wiki/Flight,"May 17, 2012",11.44
Season 9,173,1,"""Going, Going, Gone""","https://greysanatomy.fandom.com/wiki/Going,_Going,_Gone","September 27, 2012",11.37
Season 9,174,2,"""Remember the Time""",https://greysanatomy.fandom.com/wiki/Remember_the_Time,"October 4, 2012",10.84
Season 9,175,3,"""Love the One You're With""",https://greysanatomy.fandom.com/wiki/Love_the_One_You%27re_With,"October 18, 2012",9.69
Season 9,176,4,"""I Saw Her Standing There""",https://greysanatomy.fandom.com/wiki/I_Saw_Her_Standing_There,"October 25, 2012",8.76
Season 9,177,5,"""Beautiful Doom""",https://greysanatomy.fandom.com/wiki/Beautiful_Doom,"November 8, 2012",9.26
Season 9,178,6,"""Second Opinion""",https://greysanatomy.fandom.com/wiki/Second_Opinion,"November 15, 2012",8.84
Season 9,179,7,"""I Was Made for Lovin' You""",https://greysanatomy.fandom.com/wiki/I_Was_Made_for_Lovin%27_You,"November 29, 2012",8.95
Season 9,180,8,"""Love Turns You Upside Down""",https://greysanatomy.fandom.com/wiki/Love_Turns_You_Upside_Down,"December 6, 2012",9.1
Season 9,181,9,"""Run, Baby, Run""","https://greysanatomy.fandom.com/wiki/Run,_Baby,_Run","December 13, 2012",8.17
Season 9,182,10,"""Things We Said Today""",https://greysanatomy.fandom.com/wiki/Things_We_Said_Today,"January 10, 2013",9.34
Season 9,183,11,"""The End is the Beginning is the End""",https://greysanatomy.fandom.com/wiki/The_End_is_the_Beginning_is_the_End,"January 17, 2013",8.8
Season 9,184,12,"""Walking on a Dream""",https://greysanatomy.fandom.com/wiki/Walking_on_a_Dream,"January 24, 2013",9.01
Season 9,185,13,"""Bad Blood""",https://greysanatomy.fandom.com/wiki/Bad_Blood,"January 31, 2013",8.93
Season 9,186,14,"""The Face of Change""",https://greysanatomy.fandom.com/wiki/The_Face_of_Change,"February 7, 2013",8.91
Season 9,187,15,"""Hard Bargain""",https://greysanatomy.fandom.com/wiki/Hard_Bargain,"February 14, 2013",8.57
Season 9,188,16,"""This is Why We Fight""",https://greysanatomy.fandom.com/wiki/This_is_Why_We_Fight,"February 21, 2013",8.75
Season 9,189,17,"""Transplant Wasteland""",https://greysanatomy.fandom.com/wiki/Transplant_Wasteland,"March 14, 2013",8.2
Season 9,190,18,"""Idle Hands""",https://greysanatomy.fandom.com/wiki/Idle_Hands,"March 21, 2013",9.39
Season 9,191,19,"""Can't Fight This Feeling""",https://greysanatomy.fandom.com/wiki/Can%27t_Fight_This_Feeling,"March 28, 2013",9.02
Season 9,192,20,"""She's Killing Me""",https://greysanatomy.fandom.com/wiki/She%27s_Killing_Me,"April 4, 2013",8.58
Season 9,193,21,"""Sleeping Monster""",https://greysanatomy.fandom.com/wiki/Sleeping_Monster,"April 25, 2013",8.24
Season 9,194,22,"""Do You Believe in Magic""",https://greysanatomy.fandom.com/wiki/Do_You_Believe_in_Magic,"May 2, 2013",8.87
Season 9,195,23,"""Readiness is All""",https://greysanatomy.fandom.com/wiki/Readiness_is_All,"May 9, 2013",8.97
Season 9,196,24,"""Perfect Storm""",https://greysanatomy.fandom.com/wiki/Perfect_Storm,"May 16, 2013",8.99
Season 10,197,1,"""Seal Our Fate""",https://greysanatomy.fandom.com/wiki/Seal_Our_Fate,"September 26, 2013",9.27
Season 10,198,2,"""I Want You With Me""",https://greysanatomy.fandom.com/wiki/I_Want_You_With_Me,"September 26, 2013",9.27
Season 10,199,3,"""Everybody's Crying Mercy""",https://greysanatomy.fandom.com/wiki/Everybody%27s_Crying_Mercy,"October 3, 2013",9.6
Season 10,200,4,"""Puttin' on the Ritz""",https://greysanatomy.fandom.com/wiki/Puttin%27_on_the_Ritz,"October 10, 2013",8.79
Season 10,201,5,"""I Bet It Stung""",https://greysanatomy.fandom.com/wiki/I_Bet_It_Stung,"October 17, 2013",8.78
Season 10,202,6,"""Map of You""",https://greysanatomy.fandom.com/wiki/Map_of_You,"October 24, 2013",8.73
Season 10,203,7,"""Thriller""",https://greysanatomy.fandom.com/wiki/Thriller,"October 31, 2013",8.94
Season 10,204,8,"""Two Against One""",https://greysanatomy.fandom.com/wiki/Two_Against_One,"November 7, 2013",8.68
Season 10,205,9,"""Sorry Seems to Be the Hardest Word""",https://greysanatomy.fandom.com/wiki/Sorry_Seems_to_Be_the_Hardest_Word,"November 14, 2013",8.56
Season 10,206,10,"""Somebody That I Used to Know""",https://greysanatomy.fandom.com/wiki/Somebody_That_I_Used_to_Know,"November 21, 2013",8.61
Season 10,207,11,"""Man on the Moon""",https://greysanatomy.fandom.com/wiki/Man_on_the_Moon,"December 5, 2013",7.02
Season 10,208,12,"""Get Up, Stand Up""","https://greysanatomy.fandom.com/wiki/Get_Up,_Stand_Up_(Grey%27s_Anatomy)","December 12, 2013",8.36
Season 10,209,13,"""Take It Back""",https://greysanatomy.fandom.com/wiki/Take_It_Back,"February 27, 2014",9.42
Season 10,210,14,"""You've Got to Hide Your Love Away""",https://greysanatomy.fandom.com/wiki/You%27ve_Got_to_Hide_Your_Love_Away,"March 6, 2014",8.21
