No. in series,No. in season,Title,Original air date,U.S. viewers (millions)
118,16,Perfect Little Accident,"March 4, 2010",11.83
119,17,Push,"March 11, 2010",10.94
120,18,Suicide is Painless,"March 25, 2010",11.57
121,19,Sympathy for the Parents,"April 1, 2010",9.87
122,20,"Hook, Line and Sinner","April 29, 2010",10.47
123,21,How Insensitive,"May 6, 2010",11.03
124,22,Shiny Happy People,"May 13, 2010",11.05
125,23,Sanctuary,"May 20, 2010",13.93
126,24,Death and All His Friends,"May 20, 2010",16.13
127,1,With You I'm Born Again,"September 23, 2010",14.32
128,2,Shock to the System,"September 30, 2010",12.53
129,3,Superfreak,"October 7, 2010",12.75
130,4,Can't Fight Biology,"October 14, 2010",12.11
131,5,Almost Grown,"October 21, 2010",10.97
132,6,These Arms of Mine,"October 28, 2010",10.79
133,7,That's Me Trying,"November 4, 2010",11.92
134,8,Something's Gotta Give,"November 11, 2010",11.13
135,9,"Slow Night, So Long","November 18, 2010",11.46
136,10,Adrift and at Peace,"December 2, 2010",11.02
137,11,Disarm,"January 6, 2011",11.64
138,12,Start Me Up,"January 13, 2011",12.15
139,13,Don't Deceive Me (Please Don't Go),"February 3, 2011",11.18
140,14,P.Y.T. (Pretty Young Thing),"February 10, 2011",10.47
141,15,Golden Hour,"February 17, 2011",10.24
142,16,Not Responsible,"February 24, 2011",9.13
143,17,This is How We Do It,"March 24, 2011",10.28
144,18,Song Beneath the Song,"March 31, 2011",13.09
145,19,It's a Long Way Back,"April 28, 2011",10.67
146,20,White Wedding,"May 5, 2011",10.11
147,21,I Will Survive,"May 12, 2011",9.63
148,22,Unaccompanied Minor,"May 19, 2011",9.89
149,1,Free Falling,"September 22, 2011",10.38
150,2,She's Gone,"September 22, 2011",10.38
151,3,Take the Lead,"September 29, 2011",10.20
152,4,What is It About Men,"October 6, 2011",8.70
153,5,"Love, Loss and Legacy","October 13, 2011",9.97
154,6,Poker Face,"October 20, 2011",9.54
155,7,"Put Me In, Coach","October 27, 2011",9.93
156,8,Heart-Shaped Box,"November 3, 2011",9.52
157,9,Dark Was the Night,"November 10, 2011",11.29
158,10,Suddenly,"January 5, 2012",12.12
159,11,This Magic Moment,"January 12, 2012",10.71
160,12,Hope for the Hopeless,"January 19, 2012",9.42
161,13,If/Then,"February 2, 2012",9.71
162,14,All You Need is Love,"February 9, 2012",10.27
163,15,Have You Seen Me Lately?,"February 16, 2012",8.31
164,16,If Only You Were Lonely,"February 23, 2012",9.06
165,17,One Step Too Far,"March 15, 2012",9.62
166,18,The Lion Sleeps Tonight,"April 5, 2012",8.19
167,19,Support System,"April 12, 2012",8.85
168,20,The Girl with No Name,"April 19, 2012",9.82
169,21,Moment of Truth,"April 26, 2012",9.45
170,22,Let the Bad Times Roll,"May 3, 2012",9.24
171,23,Migration,"May 10, 2012",9.82
172,24,Flight,"May 17, 2012",11.44
173,1,"Going, Going, Gone","September 27, 2012",11.37
174,2,Remember the Time,"October 4, 2012",10.84
175,3,Love the One You're With,"October 18, 2012",9.69
176,4,I Saw Her Standing There,"October 25, 2012",8.76
177,5,Beautiful Doom,"November 8, 2012",9.26
178,6,Second Opinion,"November 15, 2012",8.84
179,7,I Was Made for Lovin' You,"November 29, 2012",8.95
180,8,Love Turns You Upside Down,"December 6, 2012",9.10
181,9,"Run, Baby, Run","December 13, 2012",8.17
182,10,Things We Said Today,"January 10, 2013",9.34
183,11,The End is the Beginning is the End,"January 17, 2013",8.80
184,12,Walking on a Dream,"January 24, 2013",9.01
185,13,Bad Blood,"January 31, 2013",8.93
186,14,The Face of Change,"February 7, 2013",8.91
187,15,Hard Bargain,"February 14, 2013",8.57
188,16,This is Why We Fight,"February 21, 2013",8.75
189,17,Transplant Wasteland,"March 14, 2013",8.20
190,18,Idle Hands,"March 21, 2013",9.39
191,19,Can't Fight This Feeling,"March 28, 2013",9.02
192,20,She's Killing Me,"April 4, 2013",8.58
193,21,Sleeping Monster,"April 25, 2013",8.24
194,22,Do You Believe in Magic,"May 2, 2013",8.87
195,23,Readiness is All,"May 9, 2013",8.97
196,24,Perfect Storm,"May 16, 2013",8.99
197,1,Seal Our Fate,"September 26, 2013",9.27
198,2,I Want You With Me,"September 26, 2013",9.27
199,3,Everybody's Crying Mercy,"October 3, 2013",9.60
200,4,Puttin' on the Ritz,"October 10, 2013",8.79
201,5,I Bet It Stung,"October 17, 2013",8.78
202,6,Map of You,"October 24, 2013",8.73
203,7,Thriller,"October 31, 2013",8.94
204,8,Two Against One,"November 7, 2013",8.68
205,9,Sorry Seems to Be the Hardest Word,"November 14, 2013",8.56
206,10,Somebody That I Used to Know,"November 21, 2013",8.61
207,11,Man on the Moon,"December 5, 2013",7.02
208,12,"Get Up, Stand Up","December 12, 2013",8.36
209,13,Take It Back,"February 27, 2014",9.42
210,14,You've Got to Hide Your Love Away,"March 6, 2014",8.21
211,15,Throwing it All Away,"March 13, 2014",7.36
212,16,We Gotta Get Out of This Place,"March 20, 2014",8.09
213,17,Do You Know?,"March 27, 2014",8.42
214,18,You Be Illin',"April 3, 2014",8.28
215,19,I'm Winning,"April 10, 2014",8.18
216,20,Go It Alone,"April 17, 2014",8.45
217,21,Change of Heart,"April 24, 2014",7.99
218,22,We Are Never Ever Getting Back Together,"May 1, 2014",8.81
219,23,"Everything I Try to Do, Nothing Seems to Turn Out Right","May 8, 2014",7.95
220,24,Fear (of the Unknown),"May 15, 2014",8.92
221,1,I Must Have Lost It on the Wind,"September 25, 2014",9.81
222,2,Puzzle With a Piece Missing,"October 2, 2014",9.44
223,3,Got to Be Real,"October 9, 2014",8.48
224,4,Only Mama Knows,"October 16, 2014",8.43
225,5,Bend & Break,"October 23, 2014",8.62
226,6,Don't Let's Start,"November 6, 2014",8.08
227,7,"Could We Start Again, Please?","November 13, 2014",8.36
228,8,Risk,"November 20, 2014",8.33
229,9,Where Do We Go From Here,"January 29, 2015",8.71
230,10,The Bed's Too Big Without You,"February 5, 2015",7.98
231,11,All I Could Do Was Cry,"February 12, 2015",7.81
232,12,The Great Pretender,"February 19, 2015",8.13
233,13,Staring at the End,"February 26, 2015",7.56
234,14,The Distance,"March 5, 2015",8.09
235,15,I Feel the Earth Move,"March 12, 2015",7.40
236,16,Don't Dream It's Over,"March 19, 2015",7.73
237,17,With or Without You,"March 26, 2015",8.18
238,18,When I Grow Up,"April 2, 2015",6.64
239,19,Crazy Love,"April 9, 2015",7.42
240,20,One Flight Down,"April 16, 2015",7.60
241,21,How to Save a Life,"April 23, 2015",9.55
242243,22,She's Leaving Home,"April 30, 2015",8.74
244,23,Time Stops,"May 7, 2015",7.74
245,24,You're My Home,"May 14, 2015",8.33
246,1,Sledgehammer,"September 24, 2015",9.55
247,2,Walking Tall,"October 1, 2015",8.58
248,3,I Choose You,"October 8, 2015",8.12
249,4,Old Time Rock and Roll,"October 15, 2015",8.25
250,5,Guess Who's Coming to Dinner,"October 22, 2015",8.96
251,6,The Me Nobody Knows,"November 5, 2015",8.50
252,7,Something Against You,"November 12, 2015",8.02
253,8,Things We Lost in the Fire,"November 19, 2015",8.50
254,9,The Sound of Silence,"February 11, 2016",8.28
255,10,All I Want is You,"February 18, 2016",7.82
256,11,Unbreak My Heart,"February 25, 2016",7.23
257,12,My Next Life,"March 3, 2016",7.67
258,13,All Eyez on Me,"March 10, 2016",7.53
259,14,Odd Man Out,"March 17, 2016",7.83
260,15,I Am Not Waiting Anymore,"March 24, 2016",7.91
261,16,When It Hurts So Bad,"March 31, 2016",7.77
262,17,I Wear the Face,"April 7, 2016",7.35
263,18,"There's a Fine, Fine Line","April 14, 2016",7.97
264,19,"It's Alright, Ma (I'm Only Bleeding)","April 14, 2016",7.97
265,20,Trigger Happy,"April 21, 2016",7.65
266,21,You're Gonna Need Someone on Your Side,"April 28, 2016",7.91
267,22,Mama Tried,"May 5, 2016",7.66
268,23,At Last,"May 12, 2016",7.77
269,24,Family Affair,"May 19, 2016",8.19
270,1,Undo,"September 22, 2016",8.75
271,2,Catastrophe and the Cure,"September 29, 2016",8.41
272,3,I Ain't No Miracle Worker,"October 6, 2016",8.08
273,4,Falling Slowly,"October 13, 2016",7.80
274,5,Both Sides Now,"October 20, 2016",8.17
275,6,Roar,"October 27, 2016",8.17
276,7,Why Try to Change Me Now,"November 3, 2016",7.60
277,8,The Room Where It Happens,"November 10, 2016",7.25
278,9,You Haven't Done Nothin',"November 17, 2016",8.04
279,10,You Can Look (But You'd Better Not Touch),"January 26, 2017",9.59
280,11,Jukebox Hero,"February 2, 2017",8.49
281,12,None of Your Business,"February 9, 2017",8.46
282,13,It Only Gets Much Worse,"February 16, 2017",7.68
283,14,Back Where You Belong,"February 23, 2017",7.71
284,15,Civil War,"March 9, 2017",7.31
285,16,Who Is He (And What Is He To You)?,"March 16, 2017",7.90
286,17,Till I Hear It From You,"March 23, 2017",7.80
287,18,"Be Still, My Soul","March 30, 2017",7.62
288,19,What's Inside,"April 6, 2017",7.23
289,20,In the Air Tonight,"April 13, 2017",7.19
290,21,Don't Stop Me Now,"April 27, 2017",7.02
291,22,Leave It Inside,"May 4, 2017",7.09
292,23,True Colors,"May 11, 2017",7.02
293,24,Ring of Fire,"May 18, 2017",7.92
294,1,Break Down the House,"September 28, 2017",8.07
295,2,Get Off on the Pain,"September 28, 2017",8.07
296,3,Go Big or Go Home,"October 5, 2017",8.06
297,4,Ain't That a Kick in the Head,"October 12, 2017",8.08
298,5,Danger Zone,"October 26, 2017",7.67
299,6,"Come on Down to My Boat, Baby","November 2, 2017",7.38
300,7,"Who Lives, Who Dies, Who Tells Your Story","November 9, 2017",8.13
301,8,Out of Nowhere,"November 16, 2017",7.52
302,9,1-800-799-7233,"January 18, 2018",8.27
303,10,Personal Jesus,"January 25, 2018",8.62
304,11,(Don't Fear) the Reaper,"February 1, 2018",8.93
305,12,"Harder, Better, Faster, Stronger","February 8, 2018",7.32
306,13,You Really Got a Hold on Me,"March 1, 2018",7.52
307,14,Games People Play,"March 8, 2018",7.07
308,15,"Old Scars, Future Hearts","March 15, 2018",7.18
309,16,Caught Somewhere in Time,"March 22, 2018",7.61
310,17,One Day Like This,"March 29, 2018",7.15
311,18,Hold Back the River,"April 5, 2018",6.84
312,19,Beautiful Dreamer,"April 12, 2018",6.97
313,20,Judgment Day,"April 19, 2018",6.93
314,21,Bad Reputation,"April 26, 2018",6.54
315,22,Fight For Your Mind,"May 3, 2018",6.66
316,23,Cold as Ice,"May 10, 2018",7.35
317,24,All of Me,"May 17, 2018",7.60
318,1,With a Wonder and a Wild Desire,"September 27, 2018",6.81
319,2,Broken Together,"September 27, 2018",6.81
320,3,Gut Feeling,"October 4, 2018",6.61
321,4,Momma Knows Best,"October 11, 2018",6.72
322,5,Everyday Angel,"October 25, 2018",6.54
323,6,Flowers Grow Out of My Grave,"November 1, 2018",6.71
324,7,Anybody Have a Map?,"November 8, 2018",6.60
325,8,Blowin' in the Wind,"November 15, 2018",7.30
326,9,Shelter from the Storm,"January 17, 2019",7.07
327,10,"Help, I'm Alive","January 24, 2019",6.98
328,11,The Winner Takes It All,"January 31, 2019",7.27
329,12,Girlfriend in a Coma,"February 7, 2019",6.79
330,13,I Walk the Line,"February 14, 2019",6.58
331,14,I Want a New Drug,"February 21, 2019",6.89
332,15,We Didn't Start the Fire,"February 28, 2019",6.99
333,16,Blood and Water,"March 7, 2019",6.55
334,17,And Dream of Sheep,"March 14, 2019",6.57
335,18,Add It Up,"March 21, 2019",7.00
336,19,Silent All These Years,"March 28, 2019",7.37
337,20,The Whole Package,"April 4, 2019",6.85
338,21,Good Shepherd,"April 11, 2019",6.81
339,22,Head Over High Heels,"April 18, 2019",6.24
340,23,What I Did for Love,"May 2, 2019",6.96
341,24,Drawn to the Blood,"May 9, 2019",6.37
342,25,Jump Into the Fog,"May 16, 2019",5.97
343,1,Nothing Left to Cling To,"September 26, 2019",6.51
344,2,Back in the Saddle,"October 3, 2019",6.08
345,3,Reunited,"October 10, 2019",6.09
346,4,It's Raining Men,"October 17, 2019",5.75
347,5,Breathe Again,"October 24, 2019",6.10
348,6,Whistlin' Past the Graveyard,"October 31, 2019",5.66
349,7,Papa Don't Preach,"November 7, 2019",6.16
350,8,My Shot,"November 14, 2019",6.34
351,9,Let's All Go to the Bar,"November 21, 2019",6.40
352,10,Help Me Through the Night,"January 23, 2020",6.66
353,11,A Hard Pill to Swallow,"January 30, 2020",5.55
354,12,The Last Supper,"February 6, 2020",5.48
355,13,Save the Last Dance for Me,"February 13, 2020",5.58
356,14,A Diagnosis,"February 20, 2020",6.04
357,15,Snowblind,"February 27, 2020",6.00
358,16,Leave a Light On,"March 5, 2020",6.30
359,17,Life on Mars?,"March 12, 2020",6.27
360,18,Give a Little Bit,"March 19, 2020",7.04
361,19,Love of My Life,"March 26, 2020",6.52
362,20,Sing It Again,"April 2, 2020",7.18
363,21,Put on a Happy Face,"April 9, 2020",7.33
364,1,All Tomorrow's Parties,"November 12, 2020",5.93
365,2,The Center Won't Hold,"November 12, 2020",5.93
366,3,My Happy Ending,"November 19, 2020",5.99
367,4,You'll Never Walk Alone,"December 3, 2020",5.84
368,5,Fight the Power,"December 10, 2020",5.69
369,6,No Time for Despair,"December 17, 2020",5.66
370,7,Helplessly Hoping,"March 11, 2021",5.11
371,8,It's All Too Much,"March 18, 2021",4.97
372,9,In My Life,"March 25, 2021",4.99
373,10,Breathe,"April 1, 2021",4.55
374,11,Sorry Doesn't Always Make It Right,"April 8, 2021",4.88
375,12,Sign O' the Times,"April 15, 2021",4.98
376,13,Good as Hell,"April 22, 2021",4.81
377,14,Look Up Child,"May 6, 2021",4.93
378,15,Tradition,"May 20, 2021",4.58
379,16,I'm Still Standing,"May 27, 2021",4.33
380,17,Someone Saved My Life Tonight,"June 3, 2021",4.76
381,1,Here Comes the Sun,"September 30, 2021",4.77
382,2,Some Kind of Tomorrow,"October 7, 2021",4.04
383,3,Hotter Than Hell,"October 14, 2021",4.05
384,4,With a Little Help From My Friends,"October 21, 2021",3.91
385,5,Bottle Up and Explode!,"November 11, 2021",4.75
386,6,Everyday Is a Holiday (With You),"November 18, 2021",4.12
387,7,Today Was a Fairytale,"December 9, 2021",3.65
388,8,It Came Upon a Midnight Clear,"December 16, 2021",4.20
389,9,No Time to Die,"February 24, 2022",4.65
390,10,Living In a House Divided,"March 3, 2022",3.95
391,11,Legacy,"March 10, 2022",3.87
392,12,The Makings of You,"March 17, 2022",3.60
393,13,Put the Squeeze On Me,"March 24, 2022",4.24
394,14,Road Trippin',"March 31, 2022",3.93
395,15,Put It to the Test,"April 7, 2022",4.21
396,16,Should I Stay or Should I Go,"May 5, 2022",3.90
397,17,I'll Cover You,"May 12, 2022",3.60
398,18,Stronger Than Hate,"May 19, 2022",3.80
399,19,Out for Blood,"May 26, 2022",4.19
400,20,You Are the Blood,"May 26, 2022",4.19
401,1,Everything Has Changed,"October 6, 2022",3.80
402,2,Wasn't Expecting That,"October 13, 2022",3.32
403,3,Let's Talk About Sex,"October 20, 2022",3.58
404,4,Haunted,"October 27, 2022",3.48
405,5,When I Get to the Border,"November 3, 2022",3.13
406,6,Thunderstruck,"November 10, 2022",3.72
407,7,I'll Follow the Sun,"February 23, 2023",3.60
408,8,All Star,"March 2, 2023",3.08
409,9,Love Don't Cost a Thing,"March 9, 2023",3.18
410,10,Sisters Are Doin' It for Themselves,"March 16, 2023",3.46
411,11,Training Day,"March 23, 2023",3.36
412,12,Pick Yourself Up,"March 30, 2023",3.70
413,13,Cowgirls Don't Cry,"April 6, 2023",3.30
414,14,Shadow of Your Love,"April 13, 2023",3.15
415,15,Mama Who Bore Me,"April 13, 2023",3.15
416,16,Gunpowder and Lead,"April 20, 2023",3.35
417,17,Come Fly With Me,"May 4, 2023",3.10
418,18,Ready to Run,"May 11, 2023",2.99
419,19,Wedding Bell Blues,"May 18, 2023",3.02
420,20,Happily Ever After?,"May 18, 2023",3.02
